Graph Size,Edge Cuts
50,313
100,1189
150,2689
200,4773
250,7536
50,264
100,1173
150,2687
200,4754
250,7495
50,306
100,1189
150,2756
200,4801
250,7488
50,311
100,1160
150,2588
200,4822
250,7502
50,297
100,1272
150,2727
200,4803
250,7470
50,321
100,1212
150,2765
200,4826
250,7557
50,307
100,1205
150,2678
200,4739
250,7487
50,300
100,1179
150,2676
200,4747
250,7451
50,305
100,1187
150,2646
200,4814
250,7474
50,297
100,1184
150,2662
200,4741
250,7468
50,292
100,1179
150,2681
200,4791
250,7439
50,303
100,1235
150,2719
200,4726
250,7444
50,305
100,1176
150,2637
200,4835
250,7367
50,314
100,1221
150,2660
200,4861
250,7547
100,1215
200,4760
300,10821
400,19497
500,30066
100,1201
200,4825
300,10871
400,19330
500,30134
100,1210
200,4794
300,10957
400,19210
500,29867
100,1201
200,4890
300,10816
400,19172
500,29969
