Graph Size,Edge Cuts
50,189
100,777
150,2223
200,3132
250,5809
50,198
100,862
150,1954
200,3436
250,5885
50,146
100,931
150,2223
200,3147
250,5885
50,146
100,840
150,2223
200,3147
250,5885
50,198
100,971
150,2223
200,3132
250,5526
50,198
100,971
150,2223
200,3436
250,5809
50,198
100,931
150,2223
200,2731
250,5464
50,198
100,862
150,2223
200,3455
250,5885
50,209
100,971
150,2223
200,2709
250,5885
50,209
100,931
150,2223
200,3147
250,5809
50,201
100,985
150,2009
200,3751
250,6512
50,200
100,979
150,1362
200,3375
250,6221
50,146
100,931
150,2223
200,3436
250,5809
50,209
100,931
150,2223
200,3436
250,5809
50,146
100,862
150,2223
200,3436
250,5885
50,198
100,971
150,1912
200,2709
250,5526
50,198
100,700
150,2223
200,3436
250,5809
50,143
100,931
150,2223
200,3436
250,4234
50,198
100,840
150,2223
200,3436
250,5477
50,198
100,840
150,2214
200,3436
250,5809
50,146
100,862
150,2223
200,3436
250,5512
50,146
100,907
150,2223
200,2731
250,5535
50,198
100,959
150,2223
200,3436
250,5809
50,209
100,862
150,2223
200,3455
250,5809
50,198
100,907
150,2223
200,3436
250,5809
50,198
100,957
150,2173
200,3147
250,5885
100,931
200,3132
300,8884
400,13959
500,25165
100,777
200,3436
300,8895
400,13959
500,25165
100,777
200,3455
300,8895
400,13959
500,25111
